파일,번호,한국어 원본,AI 영문 초안,수정 제안,메모
content (홈페이지),1,주식회사 비하이브코퍼레이션,Beehive Corporation,,
content (홈페이지),4,수행 · 출장 · 프로젝트 · 통역 · 번역 · 교육,On-site · Field Trip · Project · Interpretation · Translation · Training,,
content (홈페이지),5,"통역·번역, 국제회의 기획·운영, 온라인·대면 행사 어레인지, 문서화와 시청각 테크니컬 서포트, 영어 교육 및 트레이닝까지 — 필요한 서비스를 선택하시면 바로 견적 문의가 완료됩니다.","Interpretation & translation, international conference planning, online and on-site event coordination, documentation and audio-visual technical support, and English education & training — select the service you need and complete your quote request in minutes.",,
content (홈페이지),6,"혼자서 모든 것을 해낼 수 없습니다. 벌들의 일사불란한 움직임이 벌집을 만들듯, 비하이브코퍼레이션은 서로 다른 언어·시차·문화·이해관계 속에서 하나의 목표를 향한 소통을 설계합니다.","No one achieves everything alone. Just as bees build a hive through unified movement, Beehive Corporation designs communication toward one goal — across different languages, time zones, cultures, and interests.",,
content (홈페이지),7,"서울시 영등포구 국제금융로2길 17, 629호 (07327)","#629, 17 Gukjegeumyung-ro 2-gil, Yeongdeungpo-gu, Seoul 07327, Korea",,
content (홈페이지),11,"데이터베이스 및 온라인 정보제공업, 번역 및 통역 서비스업, 국제회의 기획 및 대행업, 외국어 교육업, 여행업","Database and online information services, translation and interpretation services, international conference planning and management, foreign language education, travel services",,
content (홈페이지),12,회사소개,About,,
content (홈페이지),13,서비스,Services,,
content (홈페이지),14,소식,News,,
content (홈페이지),15,견적 문의하기,Request a Quote,,
content (홈페이지),16,서비스 살펴보기,Explore Services,,
content (홈페이지),17,회사소개서 다운로드,Download Company Profile,,
content (홈페이지),18,안드로이드 앱 다운로드,Download Android App,,
content (홈페이지),19,언어와 문화의 경계를 넘어,"Beyond language and cultural boundaries,",,
content (홈페이지),20,소통과 실행을 이끌어 냅니다.,we drive communication and execution.,,
content (홈페이지),21,주요 클라이언트,Key Clients,,
content (홈페이지),22,100+ 누적 클라이언트 · 800+ 수행 프로젝트,100+ cumulative clients · 800+ projects delivered,,
content (홈페이지),23,"우리가 더 깊이 고민하기에, 고객은 더 멀리 나아갑니다.","The deeper we think, the further our clients go.",,
content (홈페이지),24,유형을 선택하시면 필요한 내용만 여쭤봅니다. 1~2분이면 견적 문의가 완료됩니다.,Select a category and we only ask what's relevant. A quote request takes 1–2 minutes.,,
content (홈페이지),25,전문 분야,Work Scope,,
content (홈페이지),27,작업 방식,How We Work,,
content (홈페이지),29,대표 사례,Case Studies,,
content (홈페이지),31,대표 소개,About the CEO,,
